AccessionID,JournalID,JIF
PMC9439785,"0025-7974,1536-5964,",1.4
PMC9159206,"1368-5031,1742-1241,",2.4
PMC10685901,"1029-2977,1735-3947,1029-2977,",1.0
PMC9718913,"2050-0904,",0.6
PMC10759104,"2044-6055,",2.3
PMC10063443,"1529-2908,1529-2916,",27.6
PMC9561789,"2198-3844,",14.1
PMC8812095,"2572-9241,",14.6
PMC10179467,"2077-0383,",2.9
PMC10573308,"2077-0383,",2.9
PMC9410409,"2077-0383,",2.9
PMC10325001,"2095-5138,2053-714X,",17.1
PMC10803208,"1011-8934,1598-6357,",2.3
PMC8811151,"2296-858X,",3.0
PMC9678537,"0025-7974,1536-5964,",1.4
PMC10695961,"2041-1723,",15.7
PMC9429054,"2572-9241,",14.6
PMC9513461,"2211-3835,2211-3843,",14.6
PMC10085680,"0305-1048,1362-4962,",13.1
PMC10783517,"0305-1048,1362-4962,",13.1
PMC10756395,"1941-5923,",0.7
PMC9753953,"1524-5012,1524-5012,",1.2
PMC10631480,"2523-3548,",24.9
PMC9067322,"1941-5923,",0.7
PMC9592439,"0025-7974,1536-5964,",1.4
PMC8861205,"2296-858X,",3.0
PMC8728628,"2574-3805,",9.7
PMC10740208,"2296-858X,",3.0
PMC10069588,"2044-6055,",2.3
PMC9128094,"2731-4553,",2.6
PMC9743379,"2399-6641,",1.6
PMC10247773,"2041-1723,",15.7
PMC10617859,"2049-0801,",1.6
PMC10442497,"1011-8934,1598-6357,",2.3
PMC8821626,"2041-1723,",15.7
PMC9267560,"2077-0383,",2.9
PMC10323654,"2198-3844,",14.1
PMC9372064,"2041-1723,",15.7
PMC10153422,"0008-6363,1755-3245,",13.3
PMC10630914,"2296-858X,",3.0
PMC9581932,"2041-1723,",15.7
PMC8955301,"2077-0383,",2.9
PMC8933398,"2041-1723,",15.7
PMC10528184,"2075-4418,",3.3
PMC8915214,"0141-0768,1758-1095,",10.3
PMC10153640,"0008-6363,1755-3245,",13.3
PMC10053714,"1010-660X,1648-9144,",2.4
PMC10602562,"2198-3844,",14.1
PMC8979150,"1099-3460,1468-2869,",4.1
PMC10076327,"2041-1723,",15.7
PMC9668544,"2572-9241,",14.6
PMC10161070,"2198-3844,",14.1
